Province,District,2014,2019,2024
Adana,Aladağ,17113.0,16121,16190
Adana,Ceyhan,159454.0,160977,155965
Adana,Feke,17820.0,16919,16116
Adana,Karaisalı,21682.0,21948,22997
Adana,Karataş,22178.0,23678,24304
Adana,Kozan,128893.0,131633,132911
Adana,Pozantı,20004.0,19974,20235
Adana,Saimbeyli,16000.0,14764,13451
Adana,Sarıçam,143547.0,181610,251259
Adana,Seyhan,779232.0,796286,786931
Adana,Tufanbeyli,19184.0,17102,16524
Adana,Yumurtalık,18457.0,18026,17970
Adana,Yüreğir,419240.0,414574,399910
Adana,Çukurova,353680.0,376390,378650
Adana,İmamoğlu,29111.0,27938,27071
Adıyaman,Adıyaman Merkez,283556.0,308915,290883
Adıyaman,Besni,75910.0,76674,75849
Adıyaman,Gerger,20368.0,17552,15052
Adıyaman,Gölbaşı,47593.0,49253,47983
Adıyaman,Kahta,117964.0,123861,134524
Adıyaman,Samsat,8534.0,7980,6756
Adıyaman,Sincik,18107.0,16855,16016
Adıyaman,Tut,10422.0,9905,9333
Adıyaman,Çelikhan,15381.0,15470,14641
Afyonkarahisar,Afyonkarahisar Merkez,274639.0,306908,328319
Afyonkarahisar,Bayat,8412.0,7673,7725
Afyonkarahisar,Başmakçı,10436.0,9788,9208
Afyonkarahisar,Bolvadin,45098.0,45384,45468
Afyonkarahisar,Dazkırı,11104.0,11204,11670
Afyonkarahisar,Dinar,47889.0,47400,47326
Afyonkarahisar,Emirdağ,38269.0,37361,43484
Afyonkarahisar,Evciler,7634.0,7367,7063
Afyonkarahisar,Hocalar,10184.0,9496,8395
Afyonkarahisar,Kızılören,2526.0,2329,2034
Afyonkarahisar,Sandıklı,56708.0,55331,54952
Afyonkarahisar,Sinanpaşa,41004.0,39734,38428
Afyonkarahisar,Sultandağı,15988.0,14566,13779
Afyonkarahisar,Çay,32597.0,31179,29459
Afyonkarahisar,Çobanlar,14028.0,14363,14403
Afyonkarahisar,İhsaniye,28253.0,27929,27904
Afyonkarahisar,İscehisar,24225.0,24683,25084
Afyonkarahisar,Şuhut,37377.0,36788,35492
Aksaray,Aksaray Merkez,278171.0,301661,324816
Aksaray,Ağaçören,8881.0,7972,7628
Aksaray,Eskil,25984.0,26452,27822
Aksaray,Gülağaç,19801.0,19615,19382
Aksaray,Güzelyurt,12147.0,11223,10782
Aksaray,Ortaköy,34048.0,32639,31287
Aksaray,Sarıyahşi,5220.0,5658,5008
Aksaray,Sultanhanı,,11147,12749
Amasya,Amasya Merkez,135950.0,150828,151058
Amasya,Göynücek,10771.0,10207,10787
Amasya,Gümüşhacıköy,23254.0,23402,22663
Amasya,Hamamözü,4056.0,3802,3567
Amasya,Merzifon,69937.0,72277,76854
Amasya,Suluova,46612.0,46649,47101
Amasya,Taşova,31333.0,30635,30348
Ankara,Akyurt,29403.0,36123,44541
Ankara,Altındağ,361259.0,389510,414893
Ankara,Ayaş,13018.0,13900,13670
Ankara,Bala,22142.0,30280,21893
Ankara,Beypazarı,47646.0,48371,48445
Ankara,Elmadağ,43666.0,45557,45133
Ankara,Etimesgut,501351.0,617219,629112
Ankara,Evren,2901.0,3097,3096
Ankara,Gölbaşı,118346.0,138944,165201
Ankara,Güdül,8626.0,8892,8521
Ankara,Haymana,31176.0,30930,27241
Ankara,Kahramankazan,47224.0,54806,62060
Ankara,Kalecik,13604.0,13234,12801
Ankara,Keçiören,872025.0,923404,932128
Ankara,Kızılcahamam,25767.0,28350,28823
Ankara,Mamak,587565.0,682279,686777
Ankara,Nallıhan,29289.0,27579,26488
Ankara,Polatlı,121101.0,125075,130515
Ankara,Pursaklar,129152.0,150488,165665
Ankara,Sincan,497516.0,535637,590309
Ankara,Yenimahalle,608217.0,701638,714866
Ankara,Çamlıdere,6781.0,9825,10475
Ankara,Çankaya,913715.0,937546,947330
Ankara,Çubuk,84636.0,90764,100750
Ankara,Şereflikoçhisar,33946.0,33821,33316
Antalya,Akseki,12254.0,11484,10546
Antalya,Aksu,68106.0,73220,82560
Antalya,Alanya,285407.0,327503,361873
Antalya,Demre,26059.0,26362,27814
Antalya,Döşemealtı,53554.0,65794,90572
Antalya,Elmalı,38598.0,38972,41853
Antalya,Finike,46853.0,48534,51620
Antalya,Gazipaşa,48561.0,50555,55362
Antalya,Gündoğmuş,7949.0,7737,7353
Antalya,Kaş,55574.0,59716,63921
Antalya,Kemer,41621.0,46143,50436
Antalya,Kepez,470759.0,556033,629479
Antalya,Konyaaltı,145648.0,190043,196079
Antalya,Korkuteli,52913.0,55352,58728
Antalya,Kumluca,66783.0,70423,75041
Antalya,Manavgat,215526.0,241011,262576
Antalya,Muratpaşa,465927.0,510368,509444
Antalya,Serik,117670.0,129418,143435
Antalya,İbradı,2800.0,3032,3411
Ardahan,Ardahan Merkez,40960.0,42374,42146
Ardahan,Damal,5767.0,5334,4653
Ardahan,Göle,27142.0,24863,22214
Ardahan,Hanak,9484.0,8776,7836
Ardahan,Posof,7322.0,6629,6057
Ardahan,Çıldır,10134.0,9343,8448
Artvin,Ardanuç,11160.0,11449,11006
Artvin,Arhavi,20306.0,20926,21821
Artvin,Artvin Merkez,34050.0,35186,36071
Artvin,Borçka,23162.0,22831,22288
Artvin,Hopa,34234.0,26958,27806
Artvin,Kemalpaşa,,9224,9343
Artvin,Murgul,6142.0,7031,6331
Artvin,Yusufeli,21596.0,20154,18080
Artvin,Şavşat,19024.0,17116,16534
Aydın,Bozdoğan,34576.0,33627,31945
Aydın,Buharkent,12458.0,12793,13115
Aydın,Didim,73385.0,86688,101474
Aydın,Efeler,270835.0,293816,308551
Aydın,Germencik,43256.0,43968,44677
Aydın,Karacasu,19536.0,18389,17508
Aydın,Karpuzlu,11603.0,10952,10510
Aydın,Koçarlı,23859.0,23397,22464
Aydın,Kuyucak,27505.0,26671,26684
Aydın,Kuşadası,101619.0,116966,137015
Aydın,Köşk,27005.0,27846,28436
Aydın,Nazilli,149816.0,159544,162041
Aydın,Sultanhisar,20910.0,20458,20147
Aydın,Söke,115936.0,121481,123850
Aydın,Yenipazar,12963.0,12481,11834
Aydın,Çine,50585.0,49339,48209
Aydın,İncirliova,46132.0,52556,57483
Ağrı,Ağrı Merkez,146007.0,151083,150602
Ağrı,Diyadin,44693.0,41512,36416
Ağrı,Doğubayazıt,121112.0,119807,114769
Ağrı,Eleşkirt,37744.0,32593,28901
Ağrı,Hamur,20364.0,18152,14961
Ağrı,Patnos,125324.0,122850,109224
Ağrı,Taşlıçay,21611.0,20029,18152
Ağrı,Tutak,32580.0,30173,26776
Balıkesir,Altıeylül,172023.0,181286,185351
Balıkesir,Ayvalık,69880.0,70720,75126
Balıkesir,Balya,13912.0,12451,12695
Balıkesir,Bandırma,145089.0,156787,167363
Balıkesir,Bigadiç,48470.0,49926,48445
Balıkesir,Burhaniye,57554.0,60490,67039
Balıkesir,Dursunbey,39411.0,33333,32778
Balıkesir,Edremit,140161.0,155837,173689
Balıkesir,Erdek,34676.0,31902,32021
Balıkesir,Gömeç,13431.0,16880,18269
Balıkesir,Gönen,73095.0,74871,75486
Balıkesir,Havran,27876.0,28058,28107
Balıkesir,Karesi,170776.0,183084,190427
Balıkesir,Kepsut,24180.0,22825,21886
Balıkesir,Manyas,20477.0,18066,17890
Balıkesir,Marmara,9456.0,10601,11708
Balıkesir,Savaştepe,18863.0,16765,16547
Balıkesir,Susurluk,39929.0,37724,37750
Balıkesir,Sındırgı,35591.0,32408,32133
Balıkesir,İvrindi,34207.0,31512,31386
Bartın,Amasra,15376.0,14151,14107
Bartın,Bartın Merkez,145230.0,155765,162793
Bartın,Kurucaşile,6844.0,6621,6559
Bartın,Ulus,21955.0,21712,23256
Batman,Batman Merkez,408248.0,460955,506322
Batman,Beşiri,30327.0,29667,32424
Batman,Gercüş,20862.0,19892,19794
Batman,Hasankeyf,6509.0,6859,7324
Batman,Kozluk,61001.0,60375,59562
Batman,Sason,30646.0,30911,29102
Bayburt,Aydıntepe,7026.0,6825,6388
Bayburt,Bayburt Merkez,63848.0,68771,69029
Bayburt,Demirözü,9733.0,9247,8259
Bilecik,Bilecik Merkez,72611.0,78533,82403
Bilecik,Bozüyük,69764.0,75566,80865
Bilecik,Gölpazarı,10016.0,10464,9910
Bilecik,Osmaneli,20934.0,21105,21931
Bilecik,Pazaryeri,11099.0,10301,9778
Bilecik,Söğüt,19785.0,18167,18665
Bilecik,Yenipazar,3106.0,2877,2775
Bilecik,İnhisar,2610.0,2414,2168
Bingöl,Adaklı,8905.0,8550,7987
Bingöl,Bingöl Merkez,147087.0,164835,173856
Bingöl,Genç,34894.0,34181,32543
Bingöl,Karlıova,31467.0,29174,26172
Bingöl,Kiğı,5496.0,4578,4650
Bingöl,Solhan,33256.0,33655,33353
Bingöl,Yayladere,1957.0,2021,1996
Bingöl,Yedisu,2957.0,2818,2728
Bitlis,Adilcevaz,31196.0,30499,29290
Bitlis,Ahlat,38121.0,40699,45096
Bitlis,Bitlis Merkez,66732.0,70699,73678
Bitlis,Güroymak,46269.0,47829,49090
Bitlis,Hizan,36663.0,33331,31030
Bitlis,Mutki,32528.0,31869,27872
Bitlis,Tatvan,86514.0,93189,103752
Bolu,Bolu Merkez,177855.0,212358,222340
Bolu,Dörtdivan,6527.0,6750,6407
Bolu,Gerede,34094.0,33926,36927
Bolu,Göynük,15772.0,15050,14412
Bolu,Kıbrıscık,3461.0,3179,2810
Bolu,Mengen,14042.0,13953,13964
Bolu,Mudurnu,19987.0,18880,18360
Bolu,Seben,5552.0,5083,4604
Bolu,Yeniçağa,7499.0,6947,6585
Burdur,Altınyayla,5601.0,5519,5120
Burdur,Ağlasun,8679.0,8078,7552
Burdur,Bucak,64763.0,65335,68096
Burdur,Burdur Merkez,99333.0,115159,118234
Burdur,Gölhisar,21671.0,22399,23988
Burdur,Karamanlı,8079.0,8016,8223
Burdur,Kemer,3594.0,3217,2814
Burdur,Tefenni,10290.0,9918,9812
Burdur,Yeşilova,16622.0,15225,14179
Burdur,Çavdır,12891.0,12796,12741
Burdur,Çeltikçi,5375.0,5134,5067
Bursa,Büyükorhan,11396.0,9666,9596
Bursa,Gemlik,103390.0,113493,123361
Bursa,Gürsu,74827.0,93788,104867
Bursa,Harmancık,6873.0,6384,6204
Bursa,Karacabey,80594.0,83923,85968
Bursa,Keles,13123.0,11997,11171
Bursa,Kestel,52938.0,68204,76659
Bursa,Mudanya,80385.0,97631,110797
Bursa,Mustafakemalpaşa,99651.0,101119,103581
Bursa,Nilüfer,375474.0,465956,561730
Bursa,Orhaneli,21563.0,19387,19069
Bursa,Orhangazi,76143.0,79145,82111
Bursa,Osmangazi,813262.0,876048,885441
Bursa,Yenişehir,52215.0,53921,55606
Bursa,Yıldırım,640746.0,657994,654998
Bursa,İnegöl,242232.0,273933,302251
Bursa,İznik,42727.0,43531,45208
Denizli,Acıpayam,55722.0,55351,54994
Denizli,Babadağ,6623.0,6445,6303
Denizli,Baklan,5800.0,5524,5351
Denizli,Bekilli,7512.0,6826,6416
Denizli,Beyağaç,6922.0,6397,6148
Denizli,Bozkurt,12352.0,12671,11130
Denizli,Buldan,27455.0,27179,26456
Denizli,Güney,10697.0,9802,9280
Denizli,Honaz,32282.0,34343,34835
Denizli,Kale,21133.0,20310,19154
Denizli,Merkezefendi,271942.0,311177,345933
Denizli,Pamukkale,320142.0,346625,345850
Denizli,Sarayköy,29739.0,30810,31063
Denizli,Serinhisar,14796.0,14451,14591
Denizli,Tavas,46463.0,43320,40591
Denizli,Çal,20218.0,18869,17546
Denizli,Çameli,18819.0,18039,17492
Denizli,Çardak,9076.0,8736,8558
Denizli,Çivril,61007.0,60333,59680
Diyarbakır,Bağlar,367314.0,396102,397661
Diyarbakır,Bismil,112461.0,118250,120093
Diyarbakır,Dicle,40033.0,37673,36758
Diyarbakır,Ergani,123474.0,132463,139223
Diyarbakır,Eğil,22786.0,22704,22346
Diyarbakır,Hani,32413.0,32675,32604
Diyarbakır,Hazro,17054.0,16618,16411
Diyarbakır,Kayapınar,292394.0,381414,440886
Diyarbakır,Kocaköy,16357.0,16106,15323
Diyarbakır,Kulp,36215.0,35357,35264
Diyarbakır,Lice,26427.0,25222,24959
Diyarbakır,Silvan,86633.0,86736,86905
Diyarbakır,Sur,121750.0,106108,97823
Diyarbakır,Yenişehir,206534.0,210927,228570
Diyarbakır,Çermik,50928.0,50819,49607
Diyarbakır,Çüngüş,12895.0,11539,10463
Diyarbakır,Çınar,69380.0,75640,78788
Düzce,Akçakoca,37747.0,38639,41233
Düzce,Cumayeri,13332.0,14649,16011
Düzce,Düzce Merkez,214991.0,247419,263220
Düzce,Gölyaka,20226.0,20179,20930
Düzce,Gümüşova,14685.0,15842,17205
Düzce,Kaynaşlı,20833.0,20454,20539
Düzce,Yığılca,16090.0,15008,14090
Düzce,Çilimli,17645.0,19976,19116
Edirne,Edirne Merkez,165979.0,185408,198428
Edirne,Enez,11203.0,10583,10529
Edirne,Havsa,19976.0,18648,17716
Edirne,Keşan,80486.0,83373,84791
Edirne,Lalapaşa,7077.0,6590,6065
Edirne,Meriç,14509.0,13681,12548
Edirne,Süloğlu,7823.0,7287,6068
Edirne,Uzunköprü,64312.0,61087,59457
Edirne,İpsala,28915.0,27246,25645
Elazığ,Alacakaya,6885.0,6151,5647
Elazığ,Arıcak,15306.0,14620,13161
Elazığ,Ağın,2819.0,2626,2579
Elazığ,Baskil,14466.0,13764,13443
Elazığ,Elazığ Merkez,412220.0,439687,458747
Elazığ,Karakoçan,28884.0,28142,28645
Elazığ,Keban,7031.0,7068,6629
Elazığ,Kovancılar,39790.0,39079,38605
Elazığ,Maden,12460.0,11275,10183
Elazığ,Palu,20035.0,19776,17856
Elazığ,Sivrice,8857.0,8910,8446
Erzincan,Erzincan Merkez,149879.0,161191,168093
Erzincan,Kemah,7760.0,6697,6850
Erzincan,Kemaliye,5238.0,5106,4774
Erzincan,Otlukbeli,2630.0,2333,2186
Erzincan,Refahiye,11660.0,11593,11609
Erzincan,Tercan,17771.0,16875,16351
Erzincan,Çayırlı,9602.0,8582,7977
Erzincan,Üzümlü,11376.0,13493,14265
Erzincan,İliç,7717.0,8877,9134
Erzurum,Aziziye,51605.0,63502,70032
Erzurum,Aşkale,24073.0,23152,20700
Erzurum,Horasan,41310.0,38837,35642
Erzurum,Hınıs,28607.0,26212,23707
Erzurum,Karayazı,30591.0,27762,23376
Erzurum,Karaçoban,24641.0,23322,20733
Erzurum,Köprüköy,17043.0,15784,13393
Erzurum,Narman,14632.0,13326,11536
Erzurum,Oltu,31424.0,30511,30374
Erzurum,Olur,7082.0,6469,6220
Erzurum,Palandöken,164146.0,172337,179286
Erzurum,Pasinler,30646.0,28691,26041
Erzurum,Pazaryolu,4601.0,3975,3786
Erzurum,Tekman,27775.0,25723,21682
Erzurum,Tortum,17394.0,18135,14787
Erzurum,Uzundere,8465.0,8153,7664
Erzurum,Yakutiye,183932.0,186993,191228
Erzurum,Çat,18505.0,16708,14641
Erzurum,İspir,16869.0,14959,14765
Erzurum,Şenkaya,19979.0,17511,15412
Eskişehir,Alpu,11822.0,10974,10072
Eskişehir,Beylikova,6083.0,6400,5723
Eskişehir,Günyüzü,6000.0,5671,5261
Eskişehir,Han,2040.0,2117,2164
Eskişehir,Mahmudiye,8221.0,7808,7524
Eskişehir,Mihalgazi,4412.0,3138,2934
Eskişehir,Mihalıççık,9302.0,8171,7959
Eskişehir,Odunpazarı,376650.0,422423,426581
Eskişehir,Sarıcakaya,5610.0,4854,4534
Eskişehir,Seyitgazi,14240.0,13009,12878
Eskişehir,Sivrihisar,21790.0,20330,20258
Eskişehir,Tepebaşı,323631.0,370150,394734
